id,symbol,name,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
the-open-network,ton,Toncoin,3.8,9513827326,19,19538494622,182009190.0,3.82,3.63,0.054041,1.44276,158030179.0,1.68912,2494118593.745965,5122157577.541907,,8.25,-53.75046,2024-06-15T00:36:51.509Z,0.519364,634.98678,2021-09-21T00:33:11.092Z,,2025-02-12T22:46:26.876Z
litecoin,ltc,Litecoin,123.83,9372410645,20,9372504493,1392658995.0,124.36,112.24,3.15,2.61231,294977979.0,3.24957,75525176.98347135,75525933.23347135,84000000.0,410.26,-69.74988,2021-05-10T03:13:07.904Z,1.15,10702.53235,2015-01-14T00:00:00.000Z,,2025-02-12T22:46:30.500Z
leo-token,leo,LEO Token,9.79,9069993400,21,9669691367,693884.0,9.94,9.74,-0.01286009558197776,-0.13112,5515683.0,0.06085,924136609.9,985239504.0,,9.95,-1.26094,2025-02-09T22:45:42.188Z,0.799859,1127.68651,2019-12-24T15:14:35.376Z,,2025-02-12T22:46:29.987Z
hedera-hashgraph,hbar,Hedera,0.235334,9006764237,22,11768156753,359394594.0,0.236183,0.215827,0.00632972,2.76402,228869840.0,2.60734,38267523224.49103,50000000000.0,50000000000.0,0.569229,-58.50443,2021-09-15T10:40:28.318Z,0.00986111,2295.31652,2020-01-02T17:30:24.852Z,,2025-02-12T22:46:29.196Z
usds,usds,USDS,0.999528,8526914971,23,8526914971,19679726.0,1.006,0.996032,-0.000301829664490327,-0.03019,107441337.0,1.27611,8523912437.702795,8523912437.702795,,1.057,-5.38021,2024-10-29T05:40:51.197Z,0.948265,5.50172,2024-10-03T13:19:28.826Z,,2025-02-12T22:46:29.776Z
hyperliquid,hype,Hyperliquid,25.35,8474781829,24,25378811679,163918622.0,25.41,22.77,1.85,7.89485,644587630.0,8.23208,333928180.0,999990391.0,1000000000.0,34.96,-27.71255,2024-12-22T03:56:00.276Z,3.81,563.50546,2024-11-29T09:30:30.871Z,,2025-02-12T22:46:29.285Z
weth,weth,WETH,2770.58,8225227564,25,8225227564,1182969365.0,2788.24,2573.8,162.63,6.23581,497628566.0,6.43963,2962660.65795653,2962660.65795653,,4799.89,-41.92195,2021-11-09T00:00:00.000Z,82.1,3295.33293,2018-12-15T00:00:00.000Z,,2025-02-12T22:46:28.958Z
polkadot,dot,Polkadot,5.27,8045451533,26,8045451533,429282163.0,5.3,4.79,0.449757,9.33851,694850305.0,9.45297,1522267060.0,1522267060.0,,54.98,-90.38671,2021-11-04T14:10:09.301Z,2.7,95.94298,2020-08-20T05:48:11.359Z,,2025-02-12T22:46:24.149Z
bitget-token,bgb,Bitget Token,6.05,7237384354,27,7237384354,386797732.0,6.36,5.75,-0.3118680458644043,-4.90253,-380715251.8118973,-4.99751,1199999994.2,1199999994.2,2000000000.0,8.45,-28.66652,2024-12-27T11:41:24.992Z,0.0142795,42113.72625,2020-06-25T04:17:05.895Z,,2025-02-12T22:46:23.758Z
bitcoin-cash,bch,Bitcoin Cash,344.98,6857801487,28,6857805810,197074259.0,346.21,324.37,12.26,3.6848,266738489.0,4.04697,19828531.14665078,19828543.64665078,21000000.0,3785.82,-90.85579,2017-12-20T00:00:00.000Z,76.93,349.96992,2018-12-16T00:00:00.000Z,,2025-02-12T22:46:24.311Z
uniswap,uni,Uniswap,10.06,6059235144,29,10090601067,320542893.0,10.08,9.16,0.623716,6.61164,403062054.0,7.12606,600483073.71,1000000000.0,1000000000.0,44.92,-77.5438,2021-05-03T05:25:04.822Z,1.03,879.14736,2020-09-17T01:20:38.214Z,,2025-02-12T22:46:26.879Z
ethena-usde,usde,Ethena USDe,0.998898,6004997859,30,6004997859,77127852.0,1.003,0.989567,-0.001621608997700363,-0.16208,-12525585.315538406,-0.20815,6003671238.163104,6003671238.163104,,1.032,-3.22448,2023-12-20T15:38:34.596Z,0.929486,7.45755,2024-10-04T07:57:15.809Z,,2025-02-12T22:46:26.248Z
wrapped-eeth,weeth,Wrapped eETH,2936.73,5629922218,31,5629922218,21877776.0,2953.74,2726.43,174.79,6.32857,362532201.0,6.88258,1914266.346920314,1914270.76155884,,4311.81,-31.88588,2024-12-06T20:32:25.758Z,2231.18,31.6325,2024-01-08T03:35:28.624Z,,2025-02-12T22:46:28.885Z
mantra-dao,om,MANTRA,5.76,5624181046,32,10458565156,322324947.0,5.95,5.61,-0.10342424743812105,-1.76283,-82335041.38477898,-1.44283,972067923.7400001,1807629525.75,,6.41,-9.76072,2025-02-07T14:11:08.824Z,0.01726188,33409.504,2023-10-12T17:25:09.068Z,,2025-02-12T22:46:30.513Z
ondo-finance,ondo,Ondo,1.4,4421928721,33,13997398569,332763518.0,1.41,1.3,0.050875,3.76995,168664041.0,3.96552,3159107529.0,10000000000.0,10000000000.0,2.14,-34.44275,2024-12-16T00:36:00.777Z,0.082171,1607.44886,2024-01-18T12:14:30.524Z,,2025-02-12T22:46:21.725Z
pepe,pepe,Pepe,1.01e-05,4260063653,34,4260063653,1046363849.0,1.015e-05,9.22e-06,5.00756e-07,5.21576,211796472.0,5.23178,420690000000000.0,420690000000000.0,420690000000000.0,2.803e-05,-63.89882,2024-12-09T16:30:35.828Z,5.5142e-08,18249.77413,2023-04-18T02:14:41.591Z,,2025-02-12T22:46:22.714Z
monero,xmr,Monero,223.96,4138388201,35,4138388201,55521749.0,227.97,218.87,2.05,0.92459,46464682.0,1.13552,18446744.07370955,18446744.07370955,,542.33,-58.55419,2018-01-09T00:00:00.000Z,0.216177,103875.69623,2015-01-14T00:00:00.000Z,,2025-02-12T22:46:30.859Z
near,near,NEAR Protocol,3.44,4095048326,36,4271367002,301493647.0,3.46,3.14,0.20249,6.25728,263004782.0,6.8633,1184006188.0,1234985416.0,,20.44,-83.07849,2022-01-16T22:09:45.873Z,0.526762,556.54622,2020-11-04T16:09:15.137Z,,2025-02-12T22:46:31.201Z
whitebit,wbt,WhiteBIT Coin,27.37,3945194448,37,9073340380,32948389.0,27.56,27.06,0.03740637,0.13683,5404049.0,0.13717,144118517.10815412,331450421.0,400000000.0,29.08,-5.67085,2025-01-23T14:52:15.951Z,3.06,795.82849,2023-02-13T19:01:21.899Z,,2025-02-12T22:46:28.291Z
aave,aave,Aave,257.33,3902447819,38,4142844633,370232673.0,259.24,233.61,11.93,4.86279,204559274.0,5.53179,15071568.121257324,16000000.0,16000000.0,661.69,-60.82909,2021-05-18T21:19:59.514Z,26.02,895.9981,2020-11-05T09:20:11.928Z,,2025-02-12T22:46:22.819Z
internet-computer,icp,Internet Computer,7.44,3590337535,39,3957304479,127359629.0,7.47,6.91,0.309202,4.33699,167081970.0,4.88079,480857424.9662177,530005667.5096091,,700.65,-98.93389,2021-05-10T16:05:53.653Z,2.87,160.71926,2023-09-22T00:29:57.369Z,,2025-02-12T22:46:29.545Z
aptos,apt,Aptos,6.2,3569424478,40,7073513726,274603700.0,6.21,5.82,0.325148,5.533,179081813.0,5.28212,575166501.5313247,1139805077.452606,,19.92,-68.71976,2023-01-26T14:25:17.390Z,3.08,102.32347,2022-12-29T21:35:14.796Z,,2025-02-12T22:46:24.400Z
mantle,mnt,Mantle,1.054,3554774989,41,6570662675,132044567.0,1.057,1.002,0.0357698,3.51176,125987586.0,3.67441,3364694382.83684,6219316794.99,6219316794.99,1.54,-31.51923,2024-04-08T09:45:25.482Z,0.307978,242.14272,2023-10-18T02:50:46.942Z,,2025-02-12T22:46:30.386Z
dai,dai,Dai,0.999659,3482116526,42,3478764889,224612371.0,1.0,0.998877,-1.643286440811e-06,-0.00016,-667293.1032094955,-0.01916,3483377477.701721,3480024627.256405,,1.22,-17.98829,2020-03-13T03:02:50.373Z,0.88196,13.34594,2023-03-11T07:50:50.514Z,,2025-02-12T22:46:26.711Z
bittensor,tao,Bittensor,412.14,3384128507,43,8650601548,232292152.0,416.65,377.64,-3.3058131410105034,-0.79572,-18923311.17373228,-0.55607,8215232.0,21000000.0,21000000.0,757.6,-45.53044,2024-03-07T18:45:36.466Z,30.83,1238.51605,2023-05-14T08:57:53.732Z,,2025-02-12T22:46:23.941Z
susds,susds,sUSDS,1.038,3257975899,44,3257975899,442024.0,1.051,1.016,-0.000432620318147947,-0.04166,5554443.0,0.17078,3132267708.570715,3132267708.570715,,1.088,-3.58239,2025-02-03T02:31:35.208Z,0.961716,9.06972,2025-01-04T01:21:08.460Z,,2025-02-12T22:46:25.342Z
ethereum-classic,etc,Ethereum Classic,21.51,3251273278,45,3251285413,150943259.0,21.64,19.93,1.29,6.3776,209449522.0,6.88566,150726515.6183324,150727078.1783065,210700000.0,167.09,-87.05897,2021-05-06T18:34:22.133Z,0.615038,3415.64854,2016-07-25T00:00:00.000Z,"{'times': 46.809622987811444, 'currency': 'usd', 'percentage': 4680.962298781144}",2025-02-12T22:46:26.559Z
okb,okb,OKB,51.97,3118101253,46,12262332569,10240542.0,52.41,49.59,1.19,2.34709,72245783.0,2.37194,60000000.0,235957685.3,300000000.0,73.8,-29.53505,2024-03-14T00:30:12.502Z,0.580608,8857.07429,2019-01-14T00:00:00.000Z,,2025-02-12T22:46:21.519Z
official-trump,trump,Official Trump,15.42,3101527384,47,15507637318,949125166.0,15.51,14.63,-0.009862284569390312,-0.06392,9804794.0,0.31713,199999994.9,1000000000.0,1000000000.0,73.43,-78.99,2025-01-19T11:50:34.806Z,4.29,259.56526,2025-01-18T03:40:29.231Z,,2025-02-12T22:46:21.943Z
vechain,vet,VeChain,0.03553675,2890561113,48,3069023769,64905837.0,0.03579891,0.03201583,0.0021592,6.46902,187022471.0,6.91769,80985041177.0,85985041177.0,86712634466.0,0.280991,-87.25855,2021-04-19T01:08:21.675Z,0.00191713,1767.49388,2020-03-13T02:29:59.652Z,"{'times': 3.4942519624191317, 'currency': 'eth', 'percentage': 349.42519624191317}",2025-02-12T22:46:27.804Z
gatechain-token,gt,Gate,22.53,2837418054,49,6765665579,21566008.0,22.58,21.16,0.632047,2.88587,89067132.0,3.24075,125815473.19980882,300000000.0,,25.94,-13.03973,2025-01-25T03:07:37.823Z,0.25754,8658.62827,2020-03-13T02:18:02.481Z,,2025-02-12T22:46:27.742Z
polygon-ecosystem-token,pol,POL (ex-MATIC),0.330172,2833639331,50,3429769123,102201576.0,0.330602,0.302029,0.02085689,6.74293,191950564.0,7.26621,8560894181.240446,10361901110.26989,,1.29,-74.36196,2024-03-13T18:55:06.692Z,0.269234,22.60906,2025-02-03T02:11:32.978Z,,2025-02-12T22:46:26.459Z
crypto-com-chain,cro,Cronos,0.095118,2604783061,51,2862477274,30353464.0,0.095519,0.089448,0.00228835,2.46512,74327698.0,2.93732,27299253186.35323,30000000000.0,,0.965407,-90.10868,2021-11-24T15:53:54.855Z,0.0121196,687.90965,2019-02-08T00:00:00.000Z,,2025-02-12T22:46:30.247Z
kaspa,kas,Kaspa,0.099906,2570974138,52,2571074264,94825493.0,0.099925,0.089308,0.00272868,2.80794,65913473.0,2.63121,25691495527.19072,25692496073.10266,28704026601.0,0.207411,-51.74541,2024-08-01T00:40:47.164Z,0.00017105,58412.46643,2022-05-26T14:42:59.316Z,,2025-02-12T22:46:29.604Z
algorand,algo,Algorand,0.303236,2554999606,53,2557473162,169309228.0,0.304404,0.279634,0.01330336,4.58843,112754283.0,4.61683,8425769198.25977,8433926387.423662,10000000000.0,3.56,-91.45223,2019-06-20T14:51:19.480Z,0.087513,247.83115,2023-09-11T19:42:08.247Z,"{'times': -0.8736515154881905, 'currency': 'usd', 'percentage': -87.36515154881906}",2025-02-12T22:46:23.535Z
coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,97797.0,2496927364,54,2496927364,437911055.0,98247.0,94583.0,1865.69,1.94481,73522109.0,3.03383,25519.86423001,25519.86423001,,108953.0,-10.25883,2025-01-20T09:20:53.854Z,57439.0,70.22572,2024-09-12T14:07:41.775Z,,2025-02-12T22:46:30.293Z
render-token,render,Render,4.69,2437379286,55,2506869314,121422394.0,4.71,4.25,0.209859,4.68771,117379359.0,5.05946,517716590.0562826,532476763.3362826,,13.53,-65.19544,2024-03-17T16:30:24.636Z,0.03665669,12750.8324,2020-06-16T13:22:25.900Z,,2025-02-12T22:46:23.832Z
jupiter-exchange-solana,jup,Jupiter,0.866882,2296814452,56,6095933638,198794291.0,0.871359,0.799583,0.04317554,5.24162,120443988.0,5.53417,2637438888.89,6999978785.383593,10000000000.0,2.0,-56.6682,2024-01-31T15:02:47.304Z,0.457464,89.44478,2024-02-21T18:31:05.083Z,,2025-02-12T22:46:29.761Z
tokenize-xchange,tkx,Tokenize Xchange,28.0,2239897807,57,2800012293,20330058.0,28.17,27.56,0.01905678,0.06811,895284.0,0.03999,79995999.05112354,100000000.0,100000000.0,50.43,-44.30641,2025-01-03T19:12:43.038Z,0.111255,25145.69641,2019-04-28T00:00:00.000Z,"{'times': 95.38596533551859, 'currency': 'usd', 'percentage': 9538.59653355186}",2025-02-12T22:46:26.441Z
cosmos,atom,Cosmos Hub,5.07,2214894676,58,2214925055,171282370.0,5.09,4.57,0.346097,7.33361,155664328.0,7.55935,435911407.156629,435917385.982159,,44.45,-88.54409,2022-01-17T00:34:41.497Z,1.16,338.93681,2020-03-13T02:27:44.591Z,"{'times': 49.6542284370509, 'currency': 'usd', 'percentage': 4965.42284370509}",2025-02-12T22:46:25.247Z
filecoin,fil,Filecoin,3.5,2211693959,59,6887063364,211208063.0,3.52,3.2,0.154166,4.61262,112799252.0,5.37422,629323270.0,1959669519.0,1959669519.0,236.84,-98.51381,2021-04-01T13:29:41.564Z,2.64,33.28048,2022-12-16T22:45:28.552Z,,2025-02-12T22:46:26.466Z
arbitrum,arb,Arbitrum,0.502033,2192247448,60,5046769805,280073843.0,0.506628,0.455707,0.03873926,8.3617,176441733.0,8.75291,4343862574.0,10000000000.0,10000000000.0,2.39,-78.82373,2024-01-12T12:29:59.231Z,0.38247,32.34319,2025-02-03T02:11:02.489Z,,2025-02-12T22:46:24.595Z
fetch-ai,fet,Artificial Superintelligence Alliance,0.827312,2155112844,61,2245732227,204682682.0,0.830577,0.721949,0.066979,8.80919,174804557.0,8.82714,2604959126.672,2714493896.672,2714493896.672,3.45,-75.95282,2024-03-28T17:21:18.050Z,0.00816959,10067.28008,2020-03-13T02:24:18.347Z,"{'times': 8.54223272411699, 'currency': 'usd', 'percentage': 854.2232724116991}",2025-02-12T22:46:26.549Z
first-digital-usd,fdusd,First Digital USD,0.997513,2049428113,62,2049428113,6904156657.0,1.011,0.980881,-0.001028405315556036,-0.10299,6901367.0,0.33788,2043514572.28817,2043514572.28817,,1.15,-13.2427,2025-02-03T02:30:49.959Z,0.940377,6.21962,2024-12-05T22:30:51.394Z,,2025-02-12T22:46:27.015Z
lombard-staked-btc,lbtc,Lombard Staked BTC,98492.0,1942937890,63,1943035877,2997463.0,98177.0,94467.0,3421.3,3.5987,94768411.0,5.12769,19828.38209159,19829.38209159,,114576.0,-14.46997,2025-02-04T01:47:44.052Z,52119.0,88.02343,2024-09-06T21:01:52.094Z,,2025-02-12T22:46:30.134Z
sonic-3,s,Sonic (prev. FTM),0.550252,1750050805,64,1750050805,214186895.0,0.554213,0.449945,0.096611,21.29674,306903086.0,21.26623,3175000000.0,3175000000.0,,1.029,-47.21499,2025-01-04T21:35:44.705Z,0.359647,51.09449,2025-02-03T02:11:37.229Z,,2025-02-12T22:46:25.466Z
celestia,tia,Celestia,3.28,1728871735,65,3629088704,116375451.0,3.29,3.0,0.03422647,1.05581,34641118.0,2.04465,525160806.554321,1102369315.068165,,20.85,-84.2843,2024-02-10T14:30:02.495Z,2.08,57.27671,2023-10-31T15:14:31.951Z,,2025-02-12T22:46:24.698Z
fasttoken,ftn,Fasttoken,3.94,1690659415,66,3432773017,49690213.0,4.0,3.9,0.00726173,0.18454,618563.0,0.0366,428845394.6,870742437.0,1000000000.0,4.0,-1.19051,2025-02-12T17:00:32.861Z,0.398142,892.06442,2023-01-21T10:15:39.503Z,,2025-02-12T22:46:26.171Z
binance-peg-weth,weth,Binance-Peg WETH,2760.05,1671893879,67,1671893879,81653590.0,2774.23,2551.43,147.33,5.63882,93303670.0,5.91057,604999.999959841,604999.999959841,,4098.26,-33.72197,2024-12-06T20:27:27.286Z,2171.8,25.06894,2024-09-06T21:02:52.910Z,,2025-02-12T22:46:23.952Z
binance-staked-sol,bnsol,Binance Staked SOL,204.8,1574809139,68,1570712534,17410538.0,205.31,196.84,-0.0730627981473333,-0.03566,-18327612.62596321,-1.15041,7680673.843400527,7660693.843400527,,297.96,-31.76983,2025-01-19T11:30:53.744Z,127.32,59.67223,2024-09-18T15:30:14.531Z,,2025-02-12T22:46:24.419Z
kelp-dao-restaked-eth,rseth,Kelp DAO Restaked ETH,2853.93,1573613057,69,1573613057,2152577.0,2853.96,2663.92,151.64,5.61167,59479629.0,3.9283,560241.8502494467,560241.8502494467,,4216.2,-32.30964,2024-12-06T20:31:16.142Z,2069.62,37.89764,2024-01-23T14:25:53.609Z,,2025-02-12T22:46:29.673Z
lido-dao,ldo,Lido DAO,1.73,1556842114,70,1737671057,244290630.0,1.76,1.49,0.13874,8.73523,132729461.0,9.32015,895936033.47191,1000000000.0,1000000000.0,7.3,-76.18591,2021-08-20T08:35:20.158Z,0.40615,328.19478,2022-06-18T20:55:12.035Z,,2025-02-12T22:46:30.101Z
raydium,ray,Raydium,5.34,1555800978,71,2968607871,171214246.0,5.35,4.83,0.00140823,0.0264,-1002814.3459920883,-0.06441,290866823.959339,555000000.0,555000000.0,16.83,-68.21988,2021-09-12T20:20:23.998Z,0.134391,3880.54607,2022-12-29T22:15:53.927Z,,2025-02-12T22:46:23.462Z
optimism,op,Optimism,1.14,1550441913,72,4926391609,204359891.0,1.15,1.038,0.070544,6.58489,100447816.0,6.92746,1351719035.0,4294967296.0,4294967296.0,4.84,-76.326,2024-03-06T08:35:50.817Z,0.402159,185.17114,2022-06-18T20:54:52.178Z,,2025-02-12T22:46:21.953Z
kucoin-shares,kcs,KuCoin,12.42,1522478407,73,1770829449,179729.0,12.45,12.05,0.273516,2.25227,34973426.0,2.35115,122606967.8513356,142606967.8513356,,28.83,-57.06908,2021-12-01T15:09:35.541Z,0.342863,3509.87739,2019-02-07T00:00:00.000Z,,2025-02-12T22:46:29.887Z
blockstack,stx,Stacks,0.996256,1513013020,74,1513027015,45686190.0,1.002,0.907372,0.061885,6.62314,97713399.0,6.90408,1512839907.65159,1512853900.71847,1818000000.0,3.86,-74.04863,2024-04-01T12:34:58.342Z,0.04559639,2099.39453,2020-03-13T02:29:26.415Z,"{'times': 7.30213639486036, 'currency': 'usd', 'percentage': 730.213639486036}",2025-02-12T22:46:25.897Z
solv-btc,solvbtc,Solv Protocol SolvBTC,97242.0,1479464564,75,1479534221,9215139.0,97638.0,94261.0,1541.91,1.61119,53320569.0,3.73879,15152.59108681883,15153.30451114681,21000000.0,108929.0,-10.72926,2025-01-20T07:17:19.296Z,49058.0,98.21921,2024-08-05T06:28:45.311Z,,2025-02-12T22:46:26.931Z
xdce-crowd-sale,xdc,XDC Network,0.093921,1476129986,76,3572840408,42632347.0,0.094418,0.089676,0.00312315,3.43968,51943189.0,3.64722,15688095938.7,37971630974.7,,0.192754,-51.10404,2021-08-21T04:39:48.324Z,0.00039532,23741.30251,2019-07-22T00:00:00.000Z,"{'times': 3.512902880641028, 'currency': 'eth', 'percentage': 351.2902880641028}",2025-02-12T22:46:28.828Z
injective-protocol,inj,Injective,14.93,1461462951,77,1495451263,132528505.0,14.94,13.6,0.583516,4.06699,59893377.0,4.27331,97727220.33,100000000.0,,52.62,-71.59672,2024-03-14T15:06:22.124Z,0.657401,2173.49812,2020-11-03T16:19:30.576Z,,2025-02-12T22:46:29.566Z
immutable-x,imx,Immutable,0.834917,1459761123,78,1674229674,51325340.0,0.836147,0.758896,0.0486515,6.18767,89109629.0,6.50126,1743800322.3898141,2000000000.0,2000000000.0,9.52,-91.20354,2021-11-26T01:03:01.536Z,0.378055,121.50678,2022-12-31T07:36:37.649Z,,2025-02-12T22:46:29.546Z
theta-token,theta,Theta Network,1.45,1451435182,79,1451435182,30083422.0,1.45,1.3,0.077534,5.65728,84544450.0,6.18517,1000000000.0,1000000000.0,1000000000.0,15.72,-90.75365,2021-04-16T13:15:11.190Z,0.04039979,3497.79005,2020-03-13T02:24:16.483Z,"{'times': 8.653672051373826, 'currency': 'usd', 'percentage': 865.3672051373827}",2025-02-12T22:46:26.173Z
ethena,ena,Ethena,0.455157,1431261030,80,6863189755,282553747.0,0.456076,0.4045,0.01111867,2.50399,48428016.0,3.50209,3128125000.0,15000000000.0,,1.52,-70.03305,2024-04-11T13:15:15.057Z,0.195078,133.14211,2024-09-06T21:04:48.253Z,,2025-02-12T22:46:30.571Z
bonk,bonk,Bonk,1.835e-05,1416984347,81,1631219286,155653264.0,1.845e-05,1.687e-05,6.93394e-07,3.92609,51464873.0,3.76889,77200550164588.67,88872559916022.84,88872559916022.84,5.825e-05,-68.41297,2024-11-20T04:01:06.465Z,8.6142e-08,21259.38172,2022-12-29T22:48:46.755Z,,2025-02-12T22:46:24.856Z
